name,street,city,state,zip,price,link,rdi,CMRA
Santa Ana - Santa Ana  Blvd,600 W Santa Ana Blvd Ste 114-AMAILBOX,Santa Ana,CA,92701,US$7.99/month,https://www.anytimemailbox.com/s/santa-ana-600-w-santa-ana-blvd,Commercial,N
Madera - Howard Road,1930 Howard Rd Ste B #MAILBOX,Madera,CA,93637,US$14.99/month,https://www.anytimemailbox.com/s/madera-1930-howard-road,Commercial,N
Novato,926 Diablo Ave Ste A #MAILBOX,Novato,CA,94947,US$9.99/month,https://www.anytimemailbox.com/s/novato-926-diablo-avenue,Commercial,N
Rocklin - Sunset Blvd,3101 Sunset Blvd Ste 2C Unit #MAILBOX,Rocklin,CA,95677,US$12.99/month,https://www.anytimemailbox.com/s/rocklin-3101-sunset-blvd,Commercial,N
La Quinta,50991 Washington St Ste 4A #MAILBOX,La Quinta,CA,92253,US$22.00/month,https://www.anytimemailbox.com/s/la-quinta-50991-washington-street,Commercial,N
Menifee - Antelope Rd,30141 Antelope Road Unit #D-MAILBOX,Menifee,CA,92584,US$25.99/month,https://www.anytimemailbox.com/s/menifee-30141-antelope-road,Commercial,N
Thousand Oaks - Moorpark Rd,275 E. Hillcrest Drive Suite 160-MAILBOX,Thousand Oaks,CA,91360,US$24.99/month,https://www.anytimemailbox.com/s/thousand-oaks-1710-n-moorpark-road,Commercial,N
Bel Air - Sepulveda Blvd,651 N Sepulveda Blvd Unit #MAILBOX,Bel Air,CA,90049,US$19.99/month,https://www.anytimemailbox.com/s/bel-air-651-n-sepulveda-blvd,Commercial,N
San Dimas - East Arrow Hwy,301 E Arrow Hwy Ste 101 - #MAILBOX,San Dimas,CA,91773,US$9.99/month,https://www.anytimemailbox.com/s/san-dimas-301-east-arrow-highway,Commercial,N
San Diego - Kettner Blvd,1050 Kettner Blvd Suite D #MAILBOX,San Diego,CA,92101,US$9.99/month,https://www.anytimemailbox.com/s/san-diego-1050-kettner-blvd,Commercial,N
Bakersfield - Stine Rd,3424 Stine Rd Unit #MAILBOX,Bakersfield,CA,93309,US$9.99/month,https://www.anytimemailbox.com/s/bakersfield-3424-stine-road,Commercial,N
Sacramento - Rockingham Dr,10265 Rockingham Dr Suite #100-MAILBOX,Sacramento,CA,95827,US$9.99/month,https://www.anytimemailbox.com/s/sacramento-10265-rockingham-drive,Commercial,N
San Francisco - Sutter St,447 Sutter St Ste 506 - MAILBOX,San Francisco,CA,94108,US$9.99/month,https://www.anytimemailbox.com/s/san-francisco-447-sutter-street,Commercial,N
Long Beach - Long Beach Blvd (3711),3711 Long Beach Blvd Unit #MAILBOX,Long Beach,CA,90807,US$14.99/month,https://www.anytimemailbox.com/s/long-beach-3711-long-beach-blvd,Commercial,N
Rosemead - Garvey Ave,8919 Garvey Ave Ste C2 #MAILBOX,Rosemead,CA,91770,US$9.99/month,https://www.anytimemailbox.com/s/rosemead-8919-garvey-avenue,Commercial,N
